t_seconds,strip,ink,occluded
0.0,0,0.10154,0
0.0,1,0.26542,0
0.0,2,0.26008,0
0.0,3,0.21146,0
0.0,4,0.11284,0
0.0,5,0.0918,0
0.0,6,0.12383,0
0.0,7,0.07086,0
5.0,0,0.10346,0
5.0,1,0.26734,0
5.0,2,0.26169,0
5.0,3,0.21552,0
5.0,4,0.11534,0
5.0,5,0.0962,0
5.0,6,0.12529,0
5.0,7,0.07159,0
10.0,0,0.10346,0
10.0,1,0.26734,0
10.0,2,0.26169,0
10.0,3,0.21552,0
10.0,4,0.11534,0
10.0,5,0.0962,0
10.0,6,0.12529,0
10.0,7,0.07159,0
15.0,0,0.10346,0
15.0,1,0.26734,0
15.0,2,0.26169,0
15.0,3,0.21552,0
15.0,4,0.11534,0
15.0,5,0.0962,0
15.0,6,0.12529,0
15.0,7,0.07159,0
20.0,0,0.10346,0
20.0,1,0.26734,0
20.0,2,0.26159,0
20.0,3,0.21552,0
20.0,4,0.11531,0
20.0,5,0.09622,0
20.0,6,0.12542,0
20.0,7,0.07156,0
25.0,0,0.18495,1
25.0,1,0.08299,1
25.0,2,0.08862,1
25.0,3,0.11701,1
25.0,4,0.15258,1
25.0,5,0.13508,1
25.0,6,0.11927,1
25.0,7,0.13872,1
30.0,0,0.12234,0
30.0,1,0.19435,0
30.0,2,0.15906,1
30.0,3,0.10471,1
30.0,4,0.08266,1
30.0,5,0.10596,1
30.0,6,0.07292,1
30.0,7,0.08984,1
35.0,0,0.10076,0
35.0,1,0.15805,0
35.0,2,0.12734,0
35.0,3,0.095,1
35.0,4,0.08531,1
35.0,5,0.05898,0
35.0,6,0.0407,0
35.0,7,0.07143,1
40.0,0,0.09385,0
40.0,1,0.15607,0
40.0,2,0.12979,0
40.0,3,0.07354,1
40.0,4,0.05013,1
40.0,5,0.03648,1
40.0,6,0.04232,1
40.0,7,0.08411,1
45.0,0,0.10839,1
45.0,1,0.14346,1
45.0,2,0.09576,1
45.0,3,0.09089,1
45.0,4,0.13003,1
45.0,5,0.11974,1
45.0,6,0.1138,1
45.0,7,0.17742,1
50.0,0,0.09714,1
50.0,1,0.0962,1
50.0,2,0.18143,1
50.0,3,0.0856,1
50.0,4,0.08523,1
50.0,5,0.10326,1
50.0,6,0.10151,1
50.0,7,0.11742,1
55.0,0,0.09685,1
55.0,1,0.06185,1
55.0,2,0.11846,1
55.0,3,0.09503,1
55.0,4,0.09612,1
55.0,5,0.07714,1
55.0,6,0.08536,1
55.0,7,0.09914,1
60.0,0,0.12003,1
60.0,1,0.07273,1
